"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","1964396032","2097055190","0.84","1040464","","","/mutual-fund/holding-history/17696/80210/"
"India Shelter Finance Corporation Ltd","INDIASHLTR","544044","Financial Services","2109476754","2088788570","0.83","2391697","","","/mutual-fund/holding-history/17696/1826519/"
"Neogen Chemicals Ltd","NEOGEN","542665","Basic Materials","1997937445.4","2046162680","0.82","1217809","","","/mutual-fund/holding-history/17696/141845/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","2166039334.2","2045005280","0.82","479913","","","/mutual-fund/holding-history/17696/914/"
"Data Patterns (India) Ltd","DATAPATTNS","543428","Industrials","2090215250.4","2010723820","0.8","705963","","","/mutual-fund/holding-history/17696/755079/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","2257963137.4","2007175100","0.8","4353959","","","/mutual-fund/holding-history/17696/989/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","1903474489","1881925720","0.75","1967924","","","/mutual-fund/holding-history/17696/644314/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","1720187627","1814031780","0.72","1731442","400000","30.04","/mutual-fund/holding-history/17696/191143/"
"DOMS Industries Ltd","DOMS","544045","Industrials","1742802617.6","1797889520","0.72","734492","","","/mutual-fund/holding-history/17696/1819409/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","1831697502.3","1754144250","0.7","1532673","","","/mutual-fund/holding-history/17696/100478/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","1565545967.5","1609349370","0.64","895775","","","/mutual-fund/holding-history/17696/496/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","1696493197.5","1600691230","0.64","1078851","","","/mutual-fund/holding-history/17696/317/"
"Apar Industries Ltd","APARINDS","532259","Industrials","1508485979.5","1582092060","0.63","194983","","","/mutual-fund/holding-history/17696/88/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","1579059713.5","1576430870","0.63","3505127","-500000","-12.48","/mutual-fund/holding-history/17696/816/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","1477724611","1572909740","0.63","981290","","","/mutual-fund/holding-history/17696/612873/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","1496395333.35","1557873340","0.62","1722073","","","/mutual-fund/holding-history/17696/745/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","1464923955.6","1547791180","0.62","1560588","","","/mutual-fund/holding-history/17696/238/"
"Orient Electric Ltd Ordinary Shares","ORIENTELEC","541301","Consumer Cyclical","1498293277.68","1527580490","0.61","6732692","","","/mutual-fund/holding-history/17696/94299/"
"SJS Enterprises Ltd","SJS","543387","Consumer Cyclical","1725545332.8","1518460610","0.61","1377351","","","/mutual-fund/holding-history/17696/710818/"
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","1480650025.25","1514317720","0.6","1618639","","","/mutual-fund/holding-history/17696/1514/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","1486269457.41","1502949970","0.6","8968017","","","/mutual-fund/holding-history/17696/616664/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","1609774441.05","1486544670","0.59","2104693","","","/mutual-fund/holding-history/17696/424/"
"Alembic Pharmaceuticals Ltd","APLLTD","533573","Healthcare","1403852380","1471876330","0.59","1445780","","","/mutual-fund/holding-history/17696/92/"
"Anant Raj Ltd","ANANTRAJ","515055","Real Estate","1402444836.6","1424399680","0.57","2538132","","","/mutual-fund/holding-history/17696/78/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","1513393284","1417596170","0.57","251436","","","/mutual-fund/holding-history/17696/1023/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","1454823809.6","1409221350","0.56","1237516","228542","22.65","/mutual-fund/holding-history/17696/712/"
"Chalet Hotels Ltd","CHALET","542399","Consumer Cyclical","1364807272.8","1407601300","0.56","1533836","","","/mutual-fund/holding-history/17696/127257/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1450467241","1404067810","0.56","554354","","","/mutual-fund/holding-history/17696/1090/"
"Tech Mahindra Ltd","TECHM","532755","Technology","1470845554.1","1366647270","0.55","868319","","","/mutual-fund/holding-history/17696/1374/"
"Union Bank of India","UNIONBANK","532477","Financial Services","1361722169.79","1360054410","0.54","9265307","","","/mutual-fund/holding-history/17696/1447/"
