"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Schloss Bangalore Ltd","THELEELA","544408","Consumer Cyclical","2025030771.2","1824825000","0.27","4504072","","","/mutual-fund/holding-history/10906/3110331/"
"Jindal Saw Ltd","JINDALSAW","500378","Basic Materials","1700664500.7","1822124000","0.27","7567590","","","/mutual-fund/holding-history/10906/676/"
"Dr. Lal PathLabs Ltd","LALPATHLAB","539524","Healthcare","1939036940","1804970000","0.27","645485","","","/mutual-fund/holding-history/10906/1877/"
"Harsha Engineers International Ltd","HARSHA","543600","Industrials","1685565236.8","1755271000","0.26","4136864","","","/mutual-fund/holding-history/10906/1037930/"
"Godrej Agrovet Ltd Ordinary Shares","GODREJAGRO","540743","Consumer Defensive","1815882521.7","1751234000","0.26","2240862","","","/mutual-fund/holding-history/10906/62812/"
"West Coast Paper Mills Ltd","WSTCSTPAPR","500444","Basic Materials","1883160232.2","1699245000","0.26","3359187","","","/mutual-fund/holding-history/10906/1530/"
"Esab India Ltd","ESABINDIA","500133","Industrials","1881696233","1685730000","0.25","326882","","","/mutual-fund/holding-history/10906/386/"
"Vindhya Telelinks Ltd","VINDHYATEL","517015","Industrials","1658686600","1669810000","0.25","975698","","","/mutual-fund/holding-history/10906/1486/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","1672592173.2","1664366000","0.25","991107","3235","0.33","/mutual-fund/holding-history/10906/665/"
"DOMS Industries Ltd","DOMS","544045","Industrials","1561079851.3","1640100000","0.25","650911","","","/mutual-fund/holding-history/10906/1819409/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","1708137161.5","1614702000","0.24","1334795","","","/mutual-fund/holding-history/10906/100478/"
"Vesuvius India Ltd","VESUVIUS","520113","Industrials","1579824000","1591200000","0.24","2880000","","","/mutual-fund/holding-history/10906/1475/"
"KEC International Ltd","KEC","532714","Industrials","1502653054.2","1589716000","0.24","1730868","","","/mutual-fund/holding-history/10906/727/"
"ACME Solar Holdings Ltd","ACMESOLAR","544283","Utilities","1802395431.12","1582486000","0.24","6350264","","","/mutual-fund/holding-history/10906/2759890/"
"Infosys Ltd","INFY","500209","Technology","1551728736.4","1582252000","0.24","987796","987796","New","/mutual-fund/holding-history/10906/630/"
"G R Infraprojects Ltd","GRINFRA","543317","Industrials","1511404554.6","1570484000","0.24","1191114","","","/mutual-fund/holding-history/10906/577216/"
"Union Bank of India","UNIONBANK","532477","Financial Services","1409512484.94","1514735000","0.23","9861558","","","/mutual-fund/holding-history/10906/1447/"
"Just Dial Ltd","JUSTDIAL","535648","Communication Services","1407734878.55","1511629000","0.23","1627157","","","/mutual-fund/holding-history/10906/704/"
"Data Patterns (India) Ltd","DATAPATTNS","543428","Industrials","1428118225.1","1475212000","0.22","508571","","","/mutual-fund/holding-history/10906/755079/"
"MTAR Technologies Ltd","MTARTECH","543270","Industrials","1419800214","1469442000","0.22","926158","","","/mutual-fund/holding-history/10906/436155/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","1538891580.24","1457481000","0.22","6994008","","","/mutual-fund/holding-history/10906/705188/"
"NIIT Ltd","NIITLTD","500304","Consumer Defensive","1351772289.56","1451661000","0.22","11111066","","","/mutual-fund/holding-history/10906/941/"
"LMW Ltd","LMW","500252","Industrials","1320200069","1404073000","0.21","84041","10000","13.51","/mutual-fund/holding-history/10906/785/"
"Sandhar Technologies Ltd Ordinary Shares","SANDHAR","541163","Consumer Cyclical","1245517016.5","1377986000","0.21","2562265","","","/mutual-fund/holding-history/10906/80794/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","1264585724","1363450000","0.2","213992","","","/mutual-fund/holding-history/10906/1182/"
"Automotive Axles Ltd","AUTOAXLES","505010","Consumer Cyclical","1356171078","1360427000","0.2","759930","","","/mutual-fund/holding-history/10906/135/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","1294576075","1321121000","0.2","1628500","","","/mutual-fund/holding-history/10906/816269/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","1313106036","1303734000","0.2","1644260","","","/mutual-fund/holding-history/10906/234/"
"Raymond Lifestyle Ltd","RAYMONDLSL","544240","Consumer Cyclical","1139671369.6","1296792000","0.19","990674","","","/mutual-fund/holding-history/10906/2613901/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","1358384313.3","1295211000","0.19","3158666","","","/mutual-fund/holding-history/10906/1267/"
"Raymond Realty Ltd","RAYMONDREL","544420","Real Estate","937920988.2","1287010000","0.19","1238343","1238343","New","/mutual-fund/holding-history/10906/3157935/"
"Protean eGov Technologies Ltd","","544021","Technology","1148334358","1276808000","0.19","1454140","","","/mutual-fund/holding-history/10906/1776577/"
"Birlasoft Ltd","BSOFT","532400","Technology","1173099899.4","1257825000","0.19","2901558","","","/mutual-fund/holding-history/10906/763/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","1301160000","1256280000","0.19","12000000","12000000","New","/mutual-fund/holding-history/10906/2789016/"
"Max Estates Ltd","MAXESTATES","544008","Real Estate","1386276564.2","1255984000","0.19","2510461","","","/mutual-fund/holding-history/10906/1771763/"
"Rainbow Childrens Medicare Ltd","RAINBOW","543524","Healthcare","1193984065.9","1226250000","0.18","785051","","","/mutual-fund/holding-history/10906/877862/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1090610228","1218898000","0.18","213992","","","/mutual-fund/holding-history/10906/2638456/"
"Aditya Birla Lifestyle Brands Ltd","ABLBL","544403","Consumer Cyclical","1188845945.7","1218160000","0.18","7755029","7755029","New","/mutual-fund/holding-history/10906/3148199/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","1177436317.5","1204841000","0.18","2754237","1750537","174.41","/mutual-fund/holding-history/10906/2734936/"
