"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","2269139683.2","1954172000","0.29","1145336","","","/mutual-fund/holding-history/10901/139598/"
"UTI Asset Management Co Ltd","UTIAMC","543238","Financial Services","2227287690.6","1948084000","0.29","1509207","","","/mutual-fund/holding-history/10901/305194/"
"CESC Ltd","CESC","500084","Utilities","1991499956","1921574000","0.29","11188202","","","/mutual-fund/holding-history/10901/256/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","1984525000","1913122000","0.29","396905","","","/mutual-fund/holding-history/10901/914/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","2005148325.6","1905932000","0.29","1964676","","","/mutual-fund/holding-history/10901/1087/"
"Thyrocare Technologies Ltd","THYROCARE","539871","Healthcare","2255375865.6","1882172000","0.28","1900224","","","/mutual-fund/holding-history/10901/2013/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","2019387500","1876713000","0.28","3250000","","","/mutual-fund/holding-history/10901/71/"
"Castrol India Ltd","CASTROLIND","500870","Energy","1840968184.04","1855614000","0.28","8368798","","","/mutual-fund/holding-history/10901/241/"
"Lemon Tree Hotels Ltd","LEMONTREE","541233","Consumer Cyclical","2042230201.3","1826017000","0.27","13032739","","","/mutual-fund/holding-history/10901/81513/"
"Schloss Bangalore Ltd","THELEELA","544408","Consumer Cyclical","2026832400","1824825000","0.27","4504072","","","/mutual-fund/holding-history/10901/3110331/"
"Jindal Saw Ltd","JINDALSAW","500378","Basic Materials","1698545575.5","1822124000","0.27","7567590","","","/mutual-fund/holding-history/10901/676/"
"Dr. Lal PathLabs Ltd","LALPATHLAB","539524","Healthcare","1938456003.5","1804970000","0.27","645485","","","/mutual-fund/holding-history/10901/1877/"
"Harsha Engineers International Ltd","HARSHA","543600","Industrials","1684117334.4","1755271000","0.26","4136864","","","/mutual-fund/holding-history/10901/1037930/"
