"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Nitin Spinners Ltd","NITINSPIN","532698","Consumer Cyclical","1187705493","1174867000","0.91","2985685","79685","2.74","/mutual-fund/holding-history/189266/948/"
"Rashi Peripherals Ltd","RPTECH","544119","Technology","1116765830.4","1089110000","0.84","3568512","68136","1.95","/mutual-fund/holding-history/189266/1992194/"
"eClerx Services Ltd","ECLERX","532927","Technology","1160568109.5","1087483000","0.84","310603","-3000","-0.96","/mutual-fund/holding-history/189266/356/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","1151933309","1079327000","0.83","1268230","10000","0.79","/mutual-fund/holding-history/189266/745/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","1083449946.6","1070710000","0.82","5264577","1767154","50.53","/mutual-fund/holding-history/189266/1093348/"
"Kolte-Patil Developers Ltd","KOLTEPATIL","532924","Real Estate","1037567143.15","1065907000","0.82","2294741","-85799","-3.6","/mutual-fund/holding-history/189266/755/"
"Cyient Ltd","CYIENT","532175","Industrials","1038865788.8","1053749000","0.81","817747","104367","14.63","/mutual-fund/holding-history/189266/301/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","1028285204.8","1050055000","0.81","946507","","","/mutual-fund/holding-history/189266/4826/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","952674380","1018532000","0.78","596540","-10991","-1.81","/mutual-fund/holding-history/189266/317/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","963146781","994330000","0.77","1140156","","","/mutual-fund/holding-history/189266/625/"
"Shilpa Medicare Ltd","SHILPAMED","530549","Healthcare","1003319838","973319000","0.75","1092941","-40495","-3.57","/mutual-fund/holding-history/189266/1218/"
