"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","433297290","420199000","0.07","1003700","","","/mutual-fund/holding-history/10901/2734936/"
"Ceigall India Ltd","CEIGALL","544223","Industrials","345965568","352896000","0.06","1386080","","","/mutual-fund/holding-history/10901/2484735/"
"Rishabh Instruments Ltd","RISHABH","543977","Technology","411155142.5","344721000","0.06","1346725","","","/mutual-fund/holding-history/10901/1650515/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","353795251.8","327013000","0.06","639948","200000","45.46","/mutual-fund/holding-history/10901/2618334/"
"Astec Lifesciences Ltd","ASTEC","533138","Basic Materials","319778892.85","316206000","0.05","461009","461009","New","/mutual-fund/holding-history/10901/121/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","273064200","226602000","0.04","176125","","","/mutual-fund/holding-history/10901/612873/"
"Credo Brands Marketing Ltd","MUFTI","544058","Consumer Cyclical","301810381.83","222121000","0.04","1696231","","","/mutual-fund/holding-history/10901/1839759/"
"JNK India Ltd","JNKINDIA","544167","Industrials","210081485","202388000","0.03","574150","","","/mutual-fund/holding-history/10901/2217258/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","209798088","202236000","0.03","494224","-235492","-32.27","/mutual-fund/holding-history/10901/1419/"
"Netweb Technologies India Ltd","NETWEB","543945","Technology","241779204.8","177520000","0.03","125776","","","/mutual-fund/holding-history/10901/1544933/"
"Elgi Equipments Ltd","ELGIEQUIP","522074","Industrials","64911128.8","58085000","0.01","130396","","","/mutual-fund/holding-history/10901/371/"
"Westlife Foodworld Ltd","WESTLIFE","505533","Consumer Cyclical","29416372.5","29121000","0.01","43419","-24854","-36.4","/mutual-fund/holding-history/10901/2228/"
"Unicommerce eSolutions Ltd","UNIECOM","544227","Technology","1488929.61","1306000","0","10787","-470152","-97.76","/mutual-fund/holding-history/10901/2492906/"
